sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
1036,10.36,1536,1528,2433,2427,1,0,1,40.97419435122675,40.76078708898078,59.3994140625
1037,10.37,1536,1532,2434,2427,1,0,1,40.97419435122675,40.86749072010376,59.423828125
1038,10.38,1536,1530,2430,2427,1,0,1,40.97419435122675,40.81413890454227,59.326171875
1039,10.39,1536,1529,2432,2427,1,0,1,40.97419435122675,40.78746299676152,59.375
1040,10.4,1536,1529,2433,2427,1,0,1,40.97419435122675,40.78746299676152,59.3994140625
1041,10.41,1536,1528,2433,2427,1,0,1,40.97419435122675,40.76078708898078,59.3994140625
1042,10.42,1536,1528,2434,2427,1,0,1,40.97419435122675,40.76078708898078,59.423828125
1043,10.43,1536,1534,2434,2427,1,0,1,40.97419435122675,40.92084253566525,59.423828125
1044,10.44,1536,1530,2428,2427,1,0,1,40.97419435122675,40.81413890454227,59.27734375
1045,10.45,1536,1527,2432,2427,1,0,1,40.97419435122675,40.73411118120003,59.375
1046,10.46,1536,1533,2435,2427,1,0,1,40.97419435122675,40.89416662788451,59.4482421875
1047,10.47,1536,1530,2429,2427,1,0,1,40.97419435122675,40.81413890454227,59.3017578125
1048,10.48,1536,1536,2432,2427,1,0,1,40.97419435122675,40.97419435122675,59.375
1049,10.49,1536,1530,2427,2427,1,0,1,40.97419435122675,40.81413890454227,59.2529296875
1050,10.5,1536,1534,2432,2427,1,0,1,40.97419435122675,40.92084253566525,59.375
1051,10.51,1536,1534,2428,2427,1,0,1,40.97419435122675,40.92084253566525,59.27734375
1052,10.52,1536,1530,2428,2427,1,0,1,40.97419435122675,40.81413890454227,59.27734375
1053,10.53,1536,1533,2432,2427,1,0,1,40.97419435122675,40.89416662788451,59.375
1054,10.54,1536,1533,2429,2427,1,0,1,40.97419435122675,40.89416662788451,59.3017578125
1055,10.55,1536,1535,2429,2427,1,0,1,40.97419435122675,40.947518443446,59.3017578125
1056,10.56,1536,1534,2427,2427,1,0,1,40.97419435122675,40.92084253566525,59.2529296875
1057,10.57,1536,1533,2428,2427,1,0,1,40.97419435122675,40.89416662788451,59.27734375
1058,10.58,1536,1531,2429,2427,1,0,1,40.97419435122675,40.84081481232302,59.3017578125
1059,10.59,1536,1533,2431,2427,1,0,1,40.97419435122675,40.89416662788451,59.3505859375
1060,10.6,1536,1534,2429,2427,1,0,1,40.97419435122675,40.92084253566525,59.3017578125
1061,10.61,1536,1820,2428,2427,1,0,1,40.97419435122675,48.550152160958774,59.27734375
1062,10.62,1536,1534,2153,2409,1,0,1,40.97419435122675,40.92084253566525,52.5634765625
1063,10.63,1536,1529,2410,2409,1,0,1,40.97419435122675,40.78746299676152,58.837890625
1064,10.64,1536,1530,2415,2409,1,0,1,40.97419435122675,40.81413890454227,58.9599609375
1065,10.65,1536,1525,2414,2409,1,0,1,40.97419435122675,40.68075936563854,58.935546875
